"ID","Nome do Dragao","Tipo","Nivel atual","Vida (HP)","Ataque (dano base)","Chance Ataque Critico","Habilidade Especial"
"1";"Alien Dragon";"Alien";"262";"26200";"5350";"5.15";"Raio Alienígena"
"2";"Alpine Dragon";"Alpine";"100";"10000";"2100";"1.90";"Pico Nevado"
"3";"Armadillo Dragon";"Armadillo";"42";"4200";"950";"0.75";"Escudo de Aço"
"4";"Aurora Dragon";"Aurora";"252";"25200";"5150";"4.95";"Luzes do Norte"
"5";"Aztec Dragon";"Aztec";"208";"20800";"4250";"4.05";"Sacrifício"
"6";"b";"a";"2";"2";"2";"0.50";"abab 1"
"7";"Bat Dragon";"Bat";"205";"20500";"4200";"4.00";"Ecolocalização"
"8";"Battery Dragon";"Battery";"85";"8500";"1800";"1.60";"Bateria Carregada"
"9";"Blizzard Dragon";"Blizzard";"108";"10800";"2250";"2.05";"Nevasca"
"10";"Block Dragon";"Block";"258";"25800";"5250";"5.05";"Construção de Blocos"
"11";"Butterfly Dragon";"Butterfly";"168";"16800";"3450";"3.25";"Asas de Borboleta"
"12";"Cactus Dragon";"Cactus";"135";"13500";"2800";"2.60";"Espinhos de Cacto"
"13";"Carnival Dragon";"Carnival";"280";"28000";"5700";"5.50";"Confete Mágico"
"14";"Carnivore Plant Dragon";"Carnivore Plant";"78";"7800";"1650";"1.45";"Mordida Venenosa"
"15";"Chameleon Dragon";"Chameleon";"145";"14500";"3000";"2.80";"Camuflagem"
"16";"Chinese Dragon";"Chinese";"210";"21000";"4300";"4.10";"Sorte Chinesa"
"17";"Cloud Dragon";"Cloud";"45";"4500";"1000";"0.80";"Nuvem de Chuva"
"18";"Cool Fire Dragon";"Cool Fire";"68";"6800";"1450";"1.25";"Fogo Frio"
"19";"Coral Dragon";"Coral";"128";"12800";"2650";"2.45";"Barreira de Coral"
"20";"Crystal Dragon";"Crystal";"120";"12000";"2500";"2.30";"Cristal Afiado"
"21";"Dandelion Dragon";"Dandelion";"30";"3000";"700";"0.50";"Pólen Alérgico"
"22";"Dark Dragon";"Dark";"92";"9200";"1950";"1.75";"Névoa Negra"
"23";"Dark Fire Dragon";"Dark Fire";"165";"16500";"3400";"3.20";"Chama Sombria"
"24";"Deep Forest Dragon";"Deep Forest";"245";"24500";"5000";"4.80";"Crescimento Rápido"
"25";"Dragonfly Dragon";"Dragonfly";"158";"15800";"3250";"3.05";"Voo Rápido"
"26";"Electric Dragon";"Electric";"82";"8200";"1750";"1.55";"Choque Elétrico"
"27";"Evil Pumpkin Dragon";"Evil Pumpkin";"225";"22500";"4600";"4.40";"Abóbora Maligna"
"28";"Firebird Dragon";"Firebird";"12";"1200";"350";"0.15";"Sopro de Fogo"
"29";"Flame Dragon";"Flame";"60";"6000";"1300";"1.10";"Sopro de Fogo"
"30";"Flaming Rock Dragon";"Flaming Rock";"40";"4000";"900";"0.70";"Rocha em Chamas"
"31";"Fluorescent Dragon";"Fluorescent";"80";"8000";"1700";"1.50";"Brilho Fluorescente"
"32";"Fossil Dragon";"Fossil";"198";"19800";"4050";"3.85";"Fóssil Revivido"
"33";"Ghost Dragon";"Ghost";"242";"24200";"4950";"4.75";"Toque Fantasma"
"34";"Great White Dragon";"Great White";"265";"26500";"5400";"5.20";"Mordida Poderosa"
"35";"Gummy Dragon";"Gummy";"18";"1800";"450";"0.25";"Geleia Pegajosa"
"36";"Hedgehog Dragon";"Hedgehog";"55";"5500";"1200";"1.00";"Espinhos Afiados"
"37";"Hot Metal Dragon";"Hot Metal";"148";"14800";"3050";"2.85";"Metal Derretido"
"38";"Ice Cream Dragon";"Ice Cream";"140";"14000";"2900";"2.70";"Congelamento Doce"
"39";"Ice Dragon";"Ice";"75";"7500";"1600";"1.40";"Rajada de Gelo"
"40";"Ice&Fire Dragon";"Ice&Fire";"250";"25000";"5100";"4.90";"Equilíbrio Elemental"
"41";"Icecube Dragon";"Icecube";"58";"5800";"1250";"1.05";"Gelo Congelante"
"42";"Jade Dragon";"Jade";"32";"3200";"750";"0.55";"Pele de Jade"
"43";"Jelly Dragon";"Jelly";"230";"23000";"4700";"4.50";"Geleia Elástica"
"44";"Jellyfish Dragon";"Jellyfish";"278";"27800";"5650";"5.45";"Choque de Água Viva"
"45";"King Dragon";"King";"212";"21200";"4350";"4.15";"Coroa Real"
"46";"Lantern Fish Dragon";"Lantern Fish";"20";"2000";"500";"0.30";"Luz Profunda"
"47";"Laser Dragon";"Laser";"48";"4800";"1050";"0.85";"Raio Laser"
"48";"Legendary Dragon";"Legendary";"95";"9500";"2000";"1.80";"Aura Lendária"
"49";"Love Dragon";"Love";"282";"28200";"5750";"5.55";"Flecha do Cupido"
"50";"lupa";"a";"1";"2";"3";"0.40";"fã de gyarados"
"51";"Medieval Dragon";"Medieval";"70";"7000";"1500";"1.30";"Armadura Pesada"
"52";"Mercury Dragon";"Mercury";"15";"1500";"400";"0.20";"Toque de Mercúrio"
"53";"Metal Dragon";"Metal";"90";"9000";"1900";"1.70";"Escudo de Metal"
"54";"Mirror Dragon";"Mirror";"125";"12500";"2600";"2.40";"Reflexo Perfeito"
"55";"Mojito Dragon";"Mojito";"142";"14200";"2950";"2.75";"Hálito Refrescante"
"56";"Moose Dragon";"Moose";"155";"15500";"3200";"3.00";"Chifres Poderosos"
"57";"Mud Dragon";"Mud";"50";"5000";"1100";"0.90";"Lama Tóxica"
"58";"Music Dragon";"Music";"255";"25500";"5200";"5.00";"Melodia Encantadora"
"59";"Nature Dragon";"Nature";"10";"1000";"300";"0.10";"Semente de Poder"
"60";"Nenufar Dragon";"Nenufar";"52";"5200";"1150";"0.95";"Folha Protetora"
"61";"Neon Dragon";"Neon";"62";"6200";"1350";"1.15";"Luz Neon"
"62";"Ninja Dragon";"Ninja";"248";"24800";"5050";"4.85";"Shuriken"
"63";"Octopus Dragon";"Octopus";"275";"27500";"5600";"5.40";"Tinta Defensiva"
"64";"Paladin Dragon";"Paladin";"195";"19500";"4000";"3.80";"Escudo Sagrado"
"65";"Paradise Dragon";"Paradise";"270";"27000";"5500";"5.30";"Fruta Proibida"
"66";"Pearl Dragon";"Pearl";"65";"6500";"1400";"1.20";"Pérola Brilhante"
"67";"Penguin Dragon";"Penguin";"72";"7200";"1550";"1.35";"Pinguim Deslizante"
"68";"Petroleum Dragon";"Petroleum";"28";"2800";"650";"0.45";"Óleo Escorregadio"
"69";"Pharaoh Dragon";"Pharaoh";"268";"26800";"5450";"5.25";"Maldição do Faraó"
"70";"Pirate Dragon";"Pirate";"118";"11800";"2450";"2.25";"Tesouro Escondido"
"71";"Plankton Dragon";"Plankton";"220";"22000";"4500";"4.30";"Filtro de Água"
"72";"Platinum Dragon";"Platinum";"115";"11500";"2400";"2.20";"Brilho de Platina"
"73";"Poo Dragon";"Poo";"102";"10200";"2150";"1.95";"Cheiro Terrível"
"74";"Pure Dark Dragon";"Pure Dark";"190";"19000";"3900";"3.70";"Poder Puro das Trevas"
"75";"Pure Dragon";"Pure";"192";"19200";"3950";"3.75";"Poder Puro"
"76";"Pure Electric Dragon";"Pure Electric";"182";"18200";"3750";"3.55";"Poder Puro Elétrico"
"77";"Pure Flame Dragon";"Pure Flame";"175";"17500";"3600";"3.40";"Poder Puro do Fogo"
"78";"Pure Ice Dragon";"Pure Ice";"185";"18500";"3800";"3.60";"Poder Puro do Gelo"
"79";"Pure Metal Dragon";"Pure Metal";"188";"18800";"3850";"3.65";"Poder Puro do Metal"
"80";"Pure Nature Dragon";"Pure Nature";"180";"18000";"3700";"3.50";"Poder Puro da Natureza"
"81";"Pure Sea Dragon";"Pure Sea";"178";"17800";"3650";"3.45";"Poder Puro do Mar"
"82";"Pure Terra Dragon";"Pure Terra";"172";"17200";"3550";"3.35";"Poder Puro da Terra"
"83";"Queen Dragon";"Queen";"235";"23500";"4800";"4.60";"Graça Real"
"84";"Quetzal Dragon";"Quetzal";"232";"23200";"4750";"4.55";"Penas Coloridas"
"85";"Rattlesnake Dragon";"Rattlesnake";"110";"11000";"2300";"2.10";"Chocalho Venenoso"
"86";"Robot Dragon";"Robot";"170";"17000";"3500";"3.30";"Braço Robótico"
"87";"Santa Dragon";"Santa";"240";"24000";"4900";"4.70";"Presente Surpresa"
"88";"Sea Dragon";"Sea";"88";"8800";"1850";"1.65";"Tsunami"
"89";"Seahorse Dragon";"Seahorse";"200";"20000";"4100";"3.90";"Cauda de Cavalo Marinho"
"90";"Seashell Dragon";"Seashell";"152";"15200";"3150";"2.95";"Concha Protetora"
"91";"Sky Dragon";"Sky";"202";"20200";"4150";"3.95";"Voo Celestial"
"92";"Snowflake Dragon";"Snowflake";"150";"15000";"3100";"2.90";"Floco de Neve"
"93";"Soccer Dragon";"Soccer";"112";"11200";"2350";"2.15";"Chute Poderoso"
"94";"Spicy Dragon";"Spicy";"130";"13000";"2700";"2.50";"Pimenta Ardente"
"95";"Star Dragon";"Star";"35";"3500";"800";"0.60";"Brilho Estelar"
"96";"Steampunk Dragon";"Steampunk";"162";"16200";"3350";"3.15";"Engrenagens"
"97";"Storm Dragon";"Storm";"138";"13800";"2850";"2.65";"Tempestade de Raios"
"98";"Terra Dragon";"Terra";"38";"3800";"850";"0.65";"Terremoto"
"99";"Thanksgiving Dragon";"Thanksgiving";"238";"23800";"4850";"4.65";"Fartura"
"100";"Tropical Dragon";"Tropical";"22";"2200";"550";"0.35";"Tempestade Tropical"
"101";"Two Headed Dragon";"Two Headed";"218";"21800";"4450";"4.25";"Dupla Mordida"
"102";"Uncle Sam Dragon";"Uncle Sam";"222";"22200";"4550";"4.35";"Patriotismo"
"103";"Vampire Dragon";"Vampire";"98";"9800";"2050";"1.85";"Drenagem de Vida"
"104";"Venom Dragon";"Venom";"160";"16000";"3300";"3.10";"Picada Venenosa"
"105";"Viking Dragon";"Viking";"228";"22800";"4650";"4.45";"Machado de Batalha"
"106";"Volcano Dragon";"Volcano";"105";"10500";"2200";"2.00";"Erupção Vulcânica"
"107";"Waterfall Dragon";"Waterfall";"132";"13200";"2750";"2.55";"Jato d'Água"
"108";"Wind Dragon";"Wind";"122";"12200";"2550";"2.35";"Vendaval"
"109";"Wizard Dragon";"Wizard";"215";"21500";"4400";"4.20";"Feitiço"
"110";"Zombie Dragon";"Zombie";"25";"2500";"600";"0.40";"Mordida Zumbi"
